Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Returns
DAX,22/03/2018,12187.73047,12267.16992,12009.5,12100.08008,12100.08008,138428600,0.876503906
DAX,23/03/2018,11995.50977,12001.78027,11818.7002,11886.30957,11886.30957,145617800,1.092001953
DAX,26/03/2018,11919.63965,11984.5,11726.62012,11787.25977,11787.25977,99857900,1.323798828
DAX,27/03/2018,11996.34961,12042.78027,11927.91016,11970.83008,11970.83008,98677800,0.255195313
DAX,28/03/2018,11868.08008,11961.16016,11770.40039,11940.70996,11940.70996,113396700,-0.726298828
DAX,29/03/2018,11956.33984,12151.30957,11942.28027,12096.73047,12096.73047,111589200,-1.40390625
DAX,03/04/2018,11997.46973,12069.48047,11913.62012,12002.4502,12002.4502,95226700,-0.049804688
DAX,04/04/2018,12000.46973,12011.12012,11792.34961,11957.90039,11957.90039,107305000,0.425693359
DAX,05/04/2018,12153.61035,12322.37012,12135.63965,12305.19043,12305.19043,109092300,-1.515800781
DAX,06/04/2018,12242.94043,12290.03027,12202.0498,12241.26953,12241.26953,87009100,0.016708984
DAX,09/04/2018,12311.01953,12371.11035,12205.38965,12261.75,12261.75,77287300,0.492695313
DAX,10/04/2018,12389.90039,12428.90039,12334.9502,12397.32031,12397.32031,99355700,-0.074199219
DAX,11/04/2018,12372.07031,12381.53027,12256.58984,12293.96973,12293.96973,98812700,0.781005859
DAX,12/04/2018,12282.38965,12434.24023,12263.7002,12415.00977,12415.00977,82053600,-1.326201172
DAX,13/04/2018,12461.30957,12523.96973,12411.65039,12442.40039,12442.40039,76693800,0.189091797
DAX,16/04/2018,12478.99023,12487.04004,12375.62988,12391.41016,12391.41016,62656800,0.875800781
DAX,17/04/2018,12443.2002,12614.25,12417.25977,12585.57031,12585.57031,85350700,-1.423701172
DAX,18/04/2018,12597.58008,12640.25,12548.4502,12590.83008,12590.83008,83029000,0.0675
DAX,19/04/2018,12595.61035,12595.61035,12534.62988,12567.41992,12567.41992,70668500,0.281904297
DAX,20/04/2018,12555.95996,12585.37012,12490.76953,12540.5,12540.5,111680200,0.154599609
DAX,23/04/2018,12538.16016,12588.23047,12466.46973,12572.38965,12572.38965,78154600,-0.342294922
DAX,24/04/2018,12602.41016,12647.16016,12481.2998,12550.82031,12550.82031,106073600,0.515898438
DAX,25/04/2018,12456.82031,12484.78027,12312.26953,12422.2998,12422.2998,108576800,0.345205078
DAX,26/04/2018,12395.90039,12503.21973,12383.9502,12500.46973,12500.46973,119856800,-1.045693359
DAX,27/04/2018,12572.71973,12627.70996,12518.03027,12580.87012,12580.87012,0,-0.081503906
DAX,30/04/2018,12606.26953,12622.92969,12563.74023,12612.11035,12612.11035,96521000,-0.058408203
DAX,02/05/2018,12610.78027,12827.54004,12605.37988,12802.25,12802.25,110911800,-1.914697266
DAX,03/05/2018,12775.66016,12798.16016,12665.33008,12690.15039,12690.15039,98817100,0.855097656
DAX,04/05/2018,12733.19043,12819.59961,12707.86035,12819.59961,12819.59961,99070000,-0.864091797
DAX,07/05/2018,12827.42969,12961.0498,12813.5498,12948.13965,12948.13965,64800000,-1.207099609
DAX,08/05/2018,12924.23047,12933.66992,12855.08984,12912.20996,12912.20996,95587900,0.120205078
DAX,09/05/2018,12917.82031,12962.51953,12890.37988,12943.05957,12943.05957,102677600,-0.252392578
DAX,10/05/2018,12975.08984,13034.20996,12928.50977,13022.87012,13022.87012,72155400,-0.477802734
DAX,11/05/2018,13023,13033.2998,12964,13001.24023,13001.24023,83673800,0.217597656
DAX,14/05/2018,13009.83008,13015.09961,12927.24023,12977.70996,12977.70996,77168000,0.321201172
