Stockname,Date,Volume
DAX,22/05/2019,241760000
DAX,23/05/2019,316940000
DAX,24/05/2019,201370000
DAX,28/05/2019,358980000
DAX,29/05/2019,298930000
DAX,30/05/2019,215240000
DAX,31/05/2019,292230000
DAX,03/06/2019,328240000
DAX,04/06/2019,281690000
DAX,05/06/2019,262660000
DAX,06/06/2019,248070000
DAX,07/06/2019,263010000
DAX,10/06/2019,249280000
DAX,11/06/2019,253490000
DAX,12/06/2019,223690000
DAX,13/06/2019,213400000
DAX,14/06/2019,208020000
DAX,17/06/2019,199500000
DAX,18/06/2019,273490000
DAX,19/06/2019,240950000
DAX,20/06/2019,278170000
DAX,21/06/2019,485560000
DAX,24/06/2019,232390000
DAX,25/06/2019,282160000
DAX,26/06/2019,274340000
DAX,27/06/2019,246930000
DAX,28/06/2019,499350000
DAX,01/07/2019,267670000
DAX,02/07/2019,219270000
DAX,03/07/2019,149840000
DAX,05/07/2019,192170000
DAX,08/07/2019,214290000
DAX,09/07/2019,218330000
DAX,10/07/2019,207990000
DAX,11/07/2019,252300000
DAX,12/07/2019,248390000
DAX,15/07/2019,199730000
DAX,16/07/2019,226000000
DAX,17/07/2019,193930000
DAX,18/07/2019,216070000
DAX,19/07/2019,287690000
DAX,22/07/2019,216310000
DAX,23/07/2019,248850000
DAX,24/07/2019,244320000
DAX,25/07/2019,241420000
DAX,26/07/2019,233650000
DAX,29/07/2019,250850000
DAX,30/07/2019,293250000
DAX,31/07/2019,385150000
DAX,01/08/2019,386320000
DAX,02/08/2019,327640000
DAX,05/08/2019,422240000
DAX,06/08/2019,318160000
DAX,07/08/2019,344790000
DAX,08/08/2019,282530000
DAX,09/08/2019,240260000
DAX,12/08/2019,199390000
DAX,13/08/2019,308900000
DAX,14/08/2019,352250000
DAX,15/08/2019,332600000
DAX,16/08/2019,276210000
DAX,19/08/2019,252640000
DAX,20/08/2019,238100000
DAX,21/08/2019,208790000
DAX,22/08/2019,222810000
DAX,23/08/2019,364260000
DAX,26/08/2019,222780000
DAX,27/08/2019,263530000
DAX,28/08/2019,207070000
DAX,29/08/2019,208650000
DAX,30/08/2019,216160000
DAX,03/09/2019,223210000
DAX,04/09/2019,202710000
DAX,05/09/2019,256670000
DAX,06/09/2019,209700000
DAX,09/09/2019,273120000
DAX,10/09/2019,322340000
DAX,11/09/2019,272590000
DAX,12/09/2019,250010000
DAX,13/09/2019,255260000
DAX,16/09/2019,220620000
DAX,17/09/2019,223580000
DAX,18/09/2019,212860000
DAX,19/09/2019,212360000
DAX,20/09/2019,497640000
DAX,23/09/2019,204240000
DAX,24/09/2019,301750000
DAX,25/09/2019,237220000
DAX,26/09/2019,229180000
DAX,27/09/2019,217780000
DAX,30/09/2019,222680000
DAX,01/10/2019,260110000
DAX,02/10/2019,309640000
DAX,03/10/2019,241610000
DAX,04/10/2019,221310000
DAX,07/10/2019,195200000
DAX,08/10/2019,244590000
DAX,09/10/2019,190060000
DAX,10/10/2019,217680000
DAX,11/10/2019,282080000
DAX,14/10/2019,178620000
DAX,15/10/2019,245510000
DAX,16/10/2019,214660000
DAX,17/10/2019,222540000
DAX,18/10/2019,288970000
DAX,21/10/2019,241030000
DAX,22/10/2019,265510000
DAX,23/10/2019,247680000
DAX,24/10/2019,253590000
DAX,25/10/2019,274610000
DAX,28/10/2019,290770000
DAX,29/10/2019,269610000
DAX,30/10/2019,231750000
DAX,31/10/2019,273830000
DAX,01/11/2019,270870000
DAX,04/11/2019,273030000
DAX,05/11/2019,286350000
DAX,06/11/2019,237910000
DAX,07/11/2019,259020000
DAX,08/11/2019,221440000
DAX,11/11/2019,202350000
DAX,12/11/2019,213670000
DAX,13/11/2019,278390000
DAX,14/11/2019,303970000
DAX,15/11/2019,283720000
DAX,18/11/2019,252320000
DAX,19/11/2019,245890000
DAX,20/11/2019,258140000
DAX,21/11/2019,232020000
DAX,22/11/2019,214780000
DAX,25/11/2019,248420000
DAX,26/11/2019,324050000
DAX,27/11/2019,198210000
DAX,29/11/2019,120630000
DAX,02/12/2019,236610000
DAX,03/12/2019,275350000
DAX,04/12/2019,218200000
DAX,05/12/2019,208600000
DAX,06/12/2019,223310000
DAX,09/12/2019,217000000
DAX,10/12/2019,213250000
DAX,11/12/2019,213510000
DAX,12/12/2019,277740000
DAX,13/12/2019,250660000
DAX,16/12/2019,286770000
DAX,17/12/2019,286770000
DAX,18/12/2019,289890000
DAX,19/12/2019,262570000
DAX,20/12/2019,603780000
DAX,23/12/2019,223530000
DAX,24/12/2019,86150000
DAX,26/12/2019,155970000
DAX,27/12/2019,182280000
DAX,30/12/2019,181600000
DAX,31/12/2019,193340000
DAX,02/01/2020,251820000
DAX,03/01/2020,239590000
DAX,06/01/2020,252760000
DAX,07/01/2020,258900000
DAX,08/01/2020,291750000
DAX,09/01/2020,275060000
DAX,10/01/2020,237830000
DAX,13/01/2020,249830000
DAX,14/01/2020,287440000
DAX,15/01/2020,260270000
DAX,16/01/2020,252110000
DAX,17/01/2020,321820000
DAX,21/01/2020,320640000
DAX,22/01/2020,283440000
DAX,23/01/2020,307060000
DAX,24/01/2020,380010000
DAX,27/01/2020,337270000
DAX,28/01/2020,330140000
DAX,29/01/2020,302290000
DAX,30/01/2020,326850000
DAX,31/01/2020,403890000
DAX,03/02/2020,307910000
DAX,04/02/2020,332750000
DAX,05/02/2020,357540000
DAX,06/02/2020,263700000
DAX,07/02/2020,252860000
DAX,10/02/2020,250510000
DAX,11/02/2020,279540000
DAX,12/02/2020,309530000
DAX,13/02/2020,291150000
DAX,14/02/2020,231000000
DAX,18/02/2020,256600000
DAX,19/02/2020,240640000
DAX,20/02/2020,287780000
DAX,21/02/2020,311210000
DAX,24/02/2020,452580000
DAX,25/02/2020,513270000
DAX,26/02/2020,472450000
DAX,27/02/2020,664980000
DAX,28/02/2020,915990000
DAX,02/03/2020,637200000
DAX,03/03/2020,647080000
DAX,04/03/2020,457590000
DAX,05/03/2020,477370000
DAX,06/03/2020,599780000
DAX,09/03/2020,750430000
DAX,10/03/2020,654860000
DAX,11/03/2020,663960000
DAX,12/03/2020,908260000
DAX,13/03/2020,843080000
DAX,16/03/2020,770130000
DAX,17/03/2020,793060000
DAX,18/03/2020,871360000
DAX,19/03/2020,780300000
DAX,20/03/2020,872290000
DAX,23/03/2020,787970000
DAX,24/03/2020,799340000
DAX,25/03/2020,796320000
DAX,26/03/2020,705180000
DAX,27/03/2020,588830000
DAX,30/03/2020,545540000
DAX,31/03/2020,571210000
DAX,01/04/2020,506680000
DAX,02/04/2020,529540000
DAX,03/04/2020,450010000
DAX,06/04/2020,610760000
DAX,07/04/2020,594660000
DAX,08/04/2020,472740000
DAX,09/04/2020,566400000
DAX,13/04/2020,394320000
DAX,14/04/2020,485910000
DAX,15/04/2020,437630000
DAX,16/04/2020,471050000
DAX,17/04/2020,525950000
DAX,20/04/2020,423410000
DAX,21/04/2020,485140000
DAX,22/04/2020,352880000
DAX,23/04/2020,389290000
DAX,24/04/2020,376020000
DAX,27/04/2020,389390000
DAX,28/04/2020,400250000
DAX,29/04/2020,455290000
DAX,30/04/2020,487840000
DAX,01/05/2020,418160000
DAX,04/05/2020,355360000
DAX,05/05/2020,369710000
DAX,06/05/2020,377450000
DAX,07/05/2020,369890000
DAX,08/05/2020,335760000
DAX,11/05/2020,352400000
DAX,12/05/2020,359480000
DAX,13/05/2020,469950000
DAX,14/05/2020,472700000
DAX,15/05/2020,491510000
DAX,18/05/2020,484190000
DAX,19/05/2020,374100000
DAX,20/05/2020,366510000
DAX,21/05/2020,346770000
DAX,22/05/2020,255660000
DAX,26/05/2020,424380000
DAX,27/05/2020,411230000
DAX,28/05/2020,377800000
DAX,29/05/2020,527620000
DAX,01/06/2020,338310000
DAX,02/06/2020,352610000
DAX,03/06/2020,398790000
DAX,04/06/2020,372190000
DAX,05/06/2020,542310000
DAX,08/06/2020,430200000
DAX,09/06/2020,381430000
DAX,10/06/2020,448930000
DAX,11/06/2020,647780000
DAX,12/06/2020,514440000
DAX,15/06/2020,461230000
DAX,16/06/2020,489500000
DAX,17/06/2020,328830000
DAX,18/06/2020,328390000
DAX,19/06/2020,669390000
DAX,22/06/2020,351780000
DAX,23/06/2020,389980000
DAX,24/06/2020,450120000
DAX,25/06/2020,384560000
DAX,26/06/2020,640860000
DAX,29/06/2020,378070000
DAX,30/06/2020,410780000
DAX,01/07/2020,373180000
DAX,02/07/2020,349130000
DAX,06/07/2020,340690000
DAX,07/07/2020,346820000
DAX,08/07/2020,337300000
DAX,09/07/2020,387610000
DAX,10/07/2020,338170000
DAX,13/07/2020,425320000
DAX,14/07/2020,401640000
DAX,15/07/2020,384900000
DAX,16/07/2020,287330000
DAX,17/07/2020,296460000
DAX,20/07/2020,309390000
DAX,21/07/2020,364930000
DAX,22/07/2020,404340000
DAX,23/07/2020,419800000
DAX,24/07/2020,494170000
DAX,27/07/2020,400930000
DAX,28/07/2020,361090000
DAX,29/07/2020,347580000
DAX,30/07/2020,351540000
DAX,31/07/2020,488050000
DAX,03/08/2020,439380000
DAX,04/08/2020,346350000
DAX,05/08/2020,366000000
DAX,06/08/2020,322460000
DAX,07/08/2020,321170000
DAX,10/08/2020,360340000
DAX,11/08/2020,428220000
DAX,12/08/2020,340210000
DAX,13/08/2020,360160000
DAX,14/08/2020,275540000
DAX,17/08/2020,286860000
DAX,18/08/2020,276170000
DAX,19/08/2020,311460000
DAX,20/08/2020,304550000
DAX,21/08/2020,372720000
DAX,24/08/2020,383880000
DAX,25/08/2020,338420000
DAX,26/08/2020,327070000
DAX,27/08/2020,404340000
DAX,28/08/2020,369740000
DAX,31/08/2020,517320000
