Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
DAX,17/07/2018,12566.96973,12688.5,12522.0498,12661.54004,12661.54004,91976300,0.013204997,0.00800258,0.800257573
DAX,18/07/2018,12728.41016,12778.95996,12715.51953,12765.94043,12765.94043,87635000,0.004976808,0.00824547,0.824547327
DAX,19/07/2018,12740.67969,12759.41992,12658.37012,12686.29004,12686.29004,75493900,0.00795115,-0.00623929,-0.623928887
DAX,20/07/2018,12664.4502,12706.83984,12469.5,12561.41992,12561.41992,106490300,0.018854756,-0.00984292,-0.984291858
DAX,23/07/2018,12510.23047,12565.12012,12489.33008,12548.57031,12548.57031,65205400,0.006050045,-0.00102294,-0.102294248
DAX,24/07/2018,12590.79004,12755.26953,12585.91016,12689.38965,12689.38965,90068800,0.013366536,0.01122194,1.122194294
DAX,25/07/2018,12685.67969,12695.12012,12538.12012,12579.33008,12579.33008,80817800,0.012444064,-0.00867335,-0.867335412
DAX,26/07/2018,12732.87988,12827.70996,12701.55957,12809.23047,12809.23047,105931000,0.009882885,0.01827604,1.8276044
DAX,27/07/2018,12825.75,12886.83008,12815.12012,12860.40039,12860.40039,95634400,0.005580133,0.00399477,0.399476925
DAX,30/07/2018,12822.87012,12848.9502,12798.2002,12798.2002,12798.2002,70725000,0.00395756,-0.00483657,-0.483656715
DAX,31/07/2018,12809.74023,12860.58984,12739.83008,12805.5,12805.5,106509800,0.009434271,0.00057038,0.057037708
DAX,01/08/2018,12826.7002,12833.11035,12706.33984,12737.0498,12737.0498,93510500,0.009927508,-0.00534538,-0.534537503
DAX,02/08/2018,12617.62988,12619.59961,12493.2002,12546.33008,12546.33008,103271900,0.010066618,-0.01497362,-1.497361815
DAX,03/08/2018,12572.61035,12644.51953,12561.62012,12615.75977,12615.75977,79345300,0.006577739,0.00553386,0.553386445
DAX,06/08/2018,12631.40039,12715.78027,12538.34961,12598.20996,12598.20996,65599400,0.014051847,-0.00139110,-0.139110211
DAX,07/08/2018,12656.87012,12738.53027,12646.16016,12648.19043,12648.19043,87114600,0.007277656,0.00396727,0.396726758
DAX,08/08/2018,12622.98047,12704.58008,12586.23047,12633.54004,12633.54004,89371000,0.009359168,-0.00115830,-0.115829929
DAX,09/08/2018,12623.13965,12696.51953,12577.33984,12676.11035,12676.11035,71701900,0.009431134,0.00336963,0.33696264
DAX,10/08/2018,12574.2002,12585.83008,12390.40039,12424.34961,12424.34961,0,0.015649574,-0.01986104,-1.986104042
DAX,13/08/2018,12346.75,12396.86035,12323.2002,12358.74023,12358.74023,92773600,0.005959562,-0.00528071,-0.528070942
DAX,14/08/2018,12444.62988,12461.82031,12294.90039,12358.87012,12358.87012,82021800,0.013485021,0.00001051,0.001050997
DAX,15/08/2018,12400.26953,12428.55957,12120.65039,12163.00977,12163.00977,99703000,0.025086374,-0.01584776,-1.584775534
DAX,16/08/2018,12202.12988,12251.40039,12168.91992,12237.16992,12237.16992,81469900,0.006755094,0.00609719,0.609718741
DAX,17/08/2018,12242.05957,12244.66992,12135.63965,12210.5498,12210.5498,86038300,0.008944185,-0.00217535,-0.217534938
DAX,20/08/2018,12263.00977,12373.36035,12245.55957,12331.2998,12331.2998,59670900,0.010382416,0.00988899,0.98889896
DAX,21/08/2018,12320.55957,12432.66016,12316.34961,12384.49023,12384.49023,68597400,0.009399278,0.00431345,0.431344877
DAX,22/08/2018,12355.53027,12438.66016,12345.32031,12385.7002,12385.7002,77192800,0.007532308,0.00009770,0.009770043
DAX,23/08/2018,12367.48047,12411.00977,12353.5498,12365.58008,12365.58008,63669000,0.004640508,-0.00162446,-0.162446367
DAX,24/08/2018,12396.69043,12444.34961,12344.4502,12394.51953,12394.51953,59051400,0.008060088,0.00234032,0.234032288
DAX,27/08/2018,12462.75,12562.37012,12429.33984,12538.30957,12538.30957,52201900,0.010646053,0.01160110,1.160109834
DAX,28/08/2018,12578.65039,12597.01953,12527.41992,12527.41992,12527.41992,72899400,0.005540405,-0.00086851,-0.086851022
DAX,29/08/2018,12553.86035,12569.05957,12499.53027,12561.67969,12561.67969,58192500,0.005547139,0.00273478,0.27347826
DAX,30/08/2018,12516.5498,12529.2998,12400.12012,12494.24023,12494.24023,73686200,0.010363726,-0.00536867,-0.536866579
DAX,31/08/2018,12418.25977,12426.86035,12348.91016,12364.05957,12364.05957,90277000,0.006292474,-0.01041925,-1.04192538
DAX,03/09/2018,12338.36035,12358.16992,12300.46973,12346.41016,12346.41016,50769600,0.004679925,-0.00142748,-0.142747695
DAX,04/09/2018,12389.45996,12402.87012,12162.70996,12210.20996,12210.20996,84476300,0.019553197,-0.01103156,-1.103156288
DAX,05/09/2018,12161.65039,12167.36035,12035.75977,12040.45996,12040.45996,109489900,0.010874786,-0.01390230,-1.390229984
DAX,06/09/2018,11995.80957,12091.98047,11944.5,11955.25,11955.25,87442600,0.01227154,-0.00707697,-0.707696884
DAX,07/09/2018,11960.09961,11990.80957,11888.57031,11959.62988,11959.62988,101789700,0.008563027,0.00036636,0.03663562
DAX,10/09/2018,11950.5498,12039.21973,11930.2998,11986.33984,11986.33984,80490500,0.009088266,0.00223334,0.223334336
DAX,11/09/2018,12013.00977,12017.73047,11865.46973,11970.26953,11970.26953,0,0.01275062,-0.00134072,-0.13407187
DAX,12/09/2018,11989.26953,12046.66016,11952.49023,12032.2998,12032.2998,112286500,0.007847812,0.00518203,0.518202784
DAX,13/09/2018,12036.79004,12129.80957,12017.41016,12055.5498,12055.5498,97093400,0.009309579,0.00193230,0.193229893
DAX,14/09/2018,12109.37012,12134.54004,12075.58008,12124.33008,12124.33008,77747100,0.004870697,0.00570528,0.570527941
DAX,17/09/2018,12056.37988,12123.08984,12040.7998,12096.41016,12096.41016,69270000,0.006811019,-0.00230280,-0.230280105
DAX,18/09/2018,12097.19043,12184.41016,12064.41016,12157.66992,12157.66992,84144700,0.009897469,0.00506429,0.506429256
DAX,19/09/2018,12168.2002,12241.13965,12165.08008,12219.01953,12219.01953,98540100,0.006232822,0.00504617,0.504616513
DAX,20/09/2018,12210.9502,12354.37988,12210.57031,12326.48047,12326.48047,110135400,0.011708651,0.00879456,0.879456324
DAX,21/09/2018,12402.71973,12458.2998,12373.9502,12430.87988,12430.87988,400165400,0.006793579,0.00846952,0.846952301
DAX,24/09/2018,12383.41992,12409.95996,12349.2998,12350.82031,12350.82031,0,0.004900008,-0.00644038,-0.644037838
DAX,25/09/2018,12341.84961,12416.87012,12322.19043,12374.66016,12374.66016,83206800,0.007654305,0.00193022,0.193022402
DAX,26/09/2018,12395.2002,12395.91992,12329.51953,12385.88965,12385.88965,74964500,0.005371031,0.00090746,0.090745846
DAX,27/09/2018,12329.40039,12456.69043,12272.65039,12435.58984,12435.58984,89854700,0.014884621,0.00401265,0.401264595
DAX,28/09/2018,12381.36035,12394.16016,12190.57031,12246.73047,12246.73047,110639600,0.016562679,-0.01518701,-1.51870054
DAX,01/10/2018,12265.88965,12373.29004,12263.09961,12339.03027,12339.03027,76918300,0.008945399,0.00753669,0.75366891
DAX,02/10/2018,12229.07031,12310.75977,12203.59961,12287.58008,12287.58008,82307700,0.0087427,-0.00416971,-0.416971098
DAX,04/10/2018,12275.07031,12348.86035,12174.69043,12244.13965,12244.13965,101177000,0.014204538,-0.00353531,-0.353531206
DAX,05/10/2018,12236.29004,12245.41016,12103.5498,12111.90039,12111.90039,94036400,0.011652404,-0.01080021,-1.080020841
DAX,08/10/2018,12044.95996,12072.26953,11938.7998,11947.16016,11947.16016,77268800,0.011117464,-0.01360152,-1.36015179
DAX,09/10/2018,11963.62988,11998.63965,11803.19043,11977.21973,11977.21973,77186000,0.016423411,0.00251604,0.251604311
DAX,10/10/2018,11976.7002,11978.7998,11712.26953,11712.5,11712.5,0,0.022501434,-0.02210193,-2.210193484
DAX,11/10/2018,11558.98047,11700.5,11518.55957,11539.34961,11539.34961,142293600,0.015671966,-0.01478338,-1.478338442
DAX,12/10/2018,11691.46973,11693.83984,11514.5498,11523.80957,11523.80957,99171000,0.015450758,-0.00134670,-0.134669982
DAX,15/10/2018,11523.80957,11625.01953,11459.08008,11614.16016,11614.16016,71968200,0.014377196,0.00784034,0.784034042
DAX,16/10/2018,11637.62012,11790.15039,11606.96973,11776.5498,11776.5498,85693600,0.015658714,0.01398204,1.398203897
DAX,17/10/2018,11811.46973,11847.79004,11669.95996,11715.03027,11715.03027,93600200,0.01512334,-0.00522390,-0.522390098
DAX,18/10/2018,11695.19043,11791.21973,11586.32031,11589.20996,11589.20996,97180800,0.017530045,-0.01074008,-1.074007554
DAX,19/10/2018,11578.84961,11617.28027,11498.69043,11553.83008,11553.83008,128743800,0.010260515,-0.00305283,-0.305282932
DAX,22/10/2018,11665.67969,11677.4502,11497.08984,11524.33984,11524.33984,73772600,0.015565703,-0.00255242,-0.255242113
DAX,23/10/2018,11367.57031,11394.20996,11228.5,11274.28027,11274.28027,115195200,0.014650139,-0.02169839,-2.169838563
DAX,24/10/2018,11298.65039,11391.94043,11166.83984,11191.62988,11191.62988,117472700,0.019957467,-0.00733088,-0.733087949
DAX,25/10/2018,11098.67969,11324.91992,11078.37012,11307.12012,11307.12012,0,0.022011031,0.01031934,1.031934055
DAX,26/10/2018,11180.95996,11205.83008,11051.04004,11200.62012,11200.62012,138702800,0.013909641,-0.00941884,-0.941884396
DAX,29/10/2018,11270.66992,11444.86035,11218.91992,11335.48047,11335.48047,98716300,0.01993912,0.01204044,1.204043603
DAX,30/10/2018,11391.78027,11394.37012,11212.58008,11287.38965,11287.38965,99304800,0.016083015,-0.00424250,-0.424250389
DAX,31/10/2018,11417.08984,11499.37988,11391.63965,11447.50977,11447.50977,127284000,0.009413388,0.01418575,1.418575286
DAX,01/11/2018,11419.61035,11575.42969,11416.36035,11468.54004,11468.54004,98851100,0.013837277,0.00183710,0.183710435
DAX,02/11/2018,11636.37012,11689.95996,11518.87012,11518.99023,11518.99023,109924000,0.01474378,0.00439901,0.439900718
DAX,05/11/2018,11522.33008,11555.96973,11479.19043,11494.95996,11494.95996,69373800,0.006666295,-0.00208614,-0.20861438
DAX,06/11/2018,11518.16992,11528.51953,11436.53027,11484.33984,11484.33984,0,0.008011283,-0.00092389,-0.092389361
DAX,07/11/2018,11542.08984,11634.80957,11532.33984,11579.09961,11579.09961,85986800,0.008846181,0.00825122,0.825121612
DAX,08/11/2018,11629,11648.79004,11503.36035,11527.32031,11527.32031,80629900,0.012563118,-0.00447179,-0.447178984
