Stockname,Date,Open
FTSE100,08/02/2019,7093.600098
FTSE100,11/02/2019,7071.200195
FTSE100,12/02/2019,7129.100098
FTSE100,13/02/2019,7133.100098
FTSE100,14/02/2019,7190.799805
FTSE100,15/02/2019,7197
FTSE100,18/02/2019,7236.700195
FTSE100,19/02/2019,7219.5
FTSE100,20/02/2019,7179.200195
FTSE100,21/02/2019,7228.600098
FTSE100,22/02/2019,7167.399902
FTSE100,25/02/2019,7178.600098
FTSE100,26/02/2019,7183.700195
FTSE100,27/02/2019,7151.100098
FTSE100,28/02/2019,7107.200195
FTSE100,01/03/2019,7074.700195
FTSE100,04/03/2019,7106.700195
FTSE100,05/03/2019,7134.399902
FTSE100,06/03/2019,7183.399902
FTSE100,07/03/2019,7196
FTSE100,08/03/2019,7157.600098
FTSE100,11/03/2019,7104.299805
FTSE100,12/03/2019,7130.600098
FTSE100,13/03/2019,7151.200195
FTSE100,14/03/2019,7159.200195
FTSE100,15/03/2019,7185.399902
FTSE100,18/03/2019,7228.299805
FTSE100,19/03/2019,7299.200195
FTSE100,20/03/2019,7324
FTSE100,21/03/2019,7291
FTSE100,22/03/2019,7355.299805
FTSE100,25/03/2019,7207.600098
FTSE100,26/03/2019,7177.600098
FTSE100,27/03/2019,7196.299805
FTSE100,28/03/2019,7194.200195
FTSE100,29/03/2019,7234.299805
FTSE100,01/04/2019,7279.200195
FTSE100,02/04/2019,7317.399902
FTSE100,03/04/2019,7391.100098
FTSE100,04/04/2019,7418.299805
FTSE100,05/04/2019,7401.899902
FTSE100,08/04/2019,7446.899902
FTSE100,09/04/2019,7451.899902
FTSE100,10/04/2019,7425.600098
FTSE100,11/04/2019,7421.899902
FTSE100,12/04/2019,7418
FTSE100,15/04/2019,7437.100098
FTSE100,16/04/2019,7436.899902
FTSE100,17/04/2019,7469.899902
FTSE100,18/04/2019,7471.299805
FTSE100,23/04/2019,7459.899902
FTSE100,24/04/2019,7523.100098
FTSE100,25/04/2019,7471.799805
FTSE100,26/04/2019,7434.100098
FTSE100,29/04/2019,7428.200195
FTSE100,30/04/2019,7440.700195
FTSE100,01/05/2019,7418.200195
FTSE100,02/05/2019,7385.299805
FTSE100,03/05/2019,7351.299805
FTSE100,07/05/2019,7380.600098
FTSE100,08/05/2019,7260.5
FTSE100,09/05/2019,7271
FTSE100,10/05/2019,7207.399902
FTSE100,13/05/2019,7203.299805
