Cryptocurrency,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
Bitcoin,01/05/2018,9251.469727,9255.879883,8891.049805,9119.009766,9119.009766,7713019904,4%,-0.013152901,-1.315290125
Bitcoin,02/05/2018,9104.599609,9256.519531,9015.139648,9235.919922,9235.919922,7558159872,3%,0.012820488,1.282048811
Bitcoin,03/05/2018,9233.969727,9798.330078,9188.150391,9743.860352,9743.860352,10207299584,6%,0.054996192,5.499619247
Bitcoin,04/05/2018,9695.5,9779.200195,9585.959961,9700.759766,9700.759766,8217829888,2%,-0.004423358,-0.442335834
Bitcoin,05/05/2018,9700.280273,9964.5,9695.120117,9858.150391,9858.150391,7651939840,3%,0.016224567,1.622456682
Bitcoin,06/05/2018,9845.30957,9940.139648,9465.25,9654.799805,9654.799805,7222280192,5%,-0.020627661,-2.062766116
Bitcoin,07/05/2018,9645.669922,9665.849609,9231.530273,9373.009766,9373.009766,7394019840,5%,-0.029186523,-2.918652326
Bitcoin,08/05/2018,9380.870117,9462.75,9127.769531,9234.820313,9234.820313,7415869952,4%,-0.014743338,-1.474333822
Bitcoin,09/05/2018,9223.730469,9374.759766,9031.620117,9325.179688,9325.179688,7226890240,4%,0.009784638,0.978463814
Bitcoin,10/05/2018,9325.959961,9396.040039,9040.519531,9043.94043,9043.94043,6906699776,4%,-0.030159125,-3.015912478
Bitcoin,11/05/2018,9052.959961,9052.959961,8394.459961,8441.490234,8441.490234,8488520192,8%,-0.066613685,-6.66136846
Bitcoin,12/05/2018,8441.44043,8664.860352,8223.5,8504.889648,8504.889648,6821380096,5%,0.007510453,0.751045281
Bitcoin,13/05/2018,8515.490234,8773.549805,8395.120117,8723.94043,8723.94043,5866379776,4%,0.025755864,2.575586402
Bitcoin,14/05/2018,8713.099609,8881.120117,8367.969727,8716.790039,8716.790039,7364149760,6%,-0.000819629,-0.081962855
Bitcoin,15/05/2018,8705.19043,8836.19043,8456.450195,8510.379883,8510.379883,6705710080,4%,-0.023679606,-2.367960629
Bitcoin,16/05/2018,8504.410156,8508.429688,8175.490234,8368.830078,8368.830078,6760220160,4%,-0.016632607,-1.663260708
Bitcoin,17/05/2018,8370.049805,8445.540039,8054.120117,8094.319824,8094.319824,5862530048,5%,-0.032801509,-3.280150885
Bitcoin,18/05/2018,8091.830078,8274.120117,7974.819824,8250.969727,8250.969727,5764190208,4%,0.019353066,1.935306558
Bitcoin,19/05/2018,8255.730469,8372.05957,8183.350098,8247.179688,8247.179688,4712399872,2%,-0.000459345,-0.045934468
Bitcoin,20/05/2018,8246.990234,8562.410156,8205.240234,8513.25,8513.25,5191059968,4%,0.032261976,3.226197592
Bitcoin,21/05/2018,8522.330078,8557.519531,8365.120117,8418.990234,8418.990234,5154990080,2%,-0.011072125,-1.10721247
Bitcoin,22/05/2018,8419.870117,8423.25,8004.580078,8041.779785,8041.779785,5137010176,5%,-0.044804714,-4.480471395
Bitcoin,23/05/2018,8037.080078,8054.660156,7507.879883,7557.819824,7557.819824,6491120128,7%,-0.060180703,-6.018070301
Bitcoin,24/05/2018,7561.120117,7738.600098,7331.140137,7587.339844,7587.339844,6049220096,5%,0.003905891,0.390589088
Bitcoin,25/05/2018,7592.299805,7659.140137,7392.649902,7480.140137,7480.140137,4867829760,4%,-0.01412876,-1.412876044
Bitcoin,26/05/2018,7486.47998,7595.160156,7349.120117,7355.879883,7355.879883,4051539968,3%,-0.016612022,-1.661202219
Bitcoin,27/05/2018,7362.080078,7381.740234,7270.959961,7368.220215,7368.220215,4056519936,2%,0.001677615,0.167761467
Bitcoin,28/05/2018,7371.310059,7419.049805,7100.890137,7135.990234,7135.990234,5040600064,4%,-0.031517785,-3.151778499
Bitcoin,29/05/2018,7129.459961,7526.419922,7090.680176,7472.589844,7472.589844,5662660096,6%,0.047169292,4.716929232
Bitcoin,30/05/2018,7469.72998,7573.77002,7313.600098,7406.52002,7406.52002,4922540032,3%,-0.008841623,-0.884162327
Bitcoin,31/05/2018,7406.149902,7608.899902,7361.129883,7494.169922,7494.169922,5127130112,3%,0.011834155,1.183415452
Bitcoin,01/06/2018,7500.700195,7604.72998,7407.339844,7541.450195,7541.450195,4921460224,3%,0.006308941,0.630894067
Bitcoin,02/06/2018,7536.720215,7695.830078,7497.259766,7643.450195,7643.450195,4939299840,3%,0.01352525,1.35252501
Bitcoin,03/06/2018,7632.089844,7754.890137,7613.040039,7720.25,7720.25,4851760128,2%,0.010047793,1.004779291
