Stockname,Date,Open,Volume,Returns
FTSE100,15/09/2021,7034.100098,772561700,0.176000977
FTSE100,16/09/2021,7016.5,667606300,-0.11
FTSE100,17/09/2021,7027.5,1627774500,0.638999023
FTSE100,20/09/2021,6963.600098,905908000,0.597001953
FTSE100,21/09/2021,6903.899902,811822000,-0.771000977
FTSE100,22/09/2021,6981,623048700,-1.023999023
FTSE100,23/09/2021,7083.399902,731206400,0.05
FTSE100,24/09/2021,7078.399902,836348200,0.268999023
FTSE100,27/09/2021,7051.5,900413700,-0.118999023
FTSE100,28/09/2021,7063.399902,819400500,0.352998047
FTSE100,29/09/2021,7028.100098,810850000,-0.801000977
FTSE100,30/09/2021,7108.200195,868050200,0.21800293
FTSE100,01/10/2021,7086.399902,815417000,0.592998047
FTSE100,04/10/2021,7027.100098,792854800,0.161000977
FTSE100,05/10/2021,7011,846145500,-0.661000977
FTSE100,06/10/2021,7077.100098,944014100,0.812001953
FTSE100,07/10/2021,6995.899902,709629100,-0.821000977
FTSE100,08/10/2021,7078,707356500,-0.176000977
FTSE100,11/10/2021,7095.600098,709511700,-0.512998047
FTSE100,12/10/2021,7146.899902,815613600,0.16699707
FTSE100,13/10/2021,7130.200195,1041234500,-0.115996094
FTSE100,14/10/2021,7141.799805,785955800,-0.659003906
FTSE100,15/10/2021,7207.700195,813605700,-0.262998047
FTSE100,18/10/2021,7234,580835500,0.302001953
FTSE100,19/10/2021,7203.799805,677316100,-0.137001953
FTSE100,20/10/2021,7217.5,655710900,-0.056000977
FTSE100,21/10/2021,7223.100098,615511300,0.32800293
FTSE100,22/10/2021,7190.299805,482745100,-0.14300293
FTSE100,25/10/2021,7204.600098,590620500,-0.18199707
FTSE100,26/10/2021,7222.799805,683335400,-0.54800293
FTSE100,27/10/2021,7277.600098,606503800,0.24300293
FTSE100,28/10/2021,7253.299805,677063000,0.037998047
FTSE100,29/10/2021,7249.5,875049200,0.118999023
FTSE100,01/11/2021,7237.600098,644379600,-0.51
FTSE100,02/11/2021,7288.600098,788360700,0.13800293
FTSE100,03/11/2021,7274.799805,729024900,0.258999023
FTSE100,04/11/2021,7248.899902,988387200,-0.31
FTSE100,05/11/2021,7279.899902,829628100,-0.241000977
FTSE100,08/11/2021,7304,617444100,0.036000977
FTSE100,09/11/2021,7300.399902,780375900,0.263999023
FTSE100,10/11/2021,7274,908302100,-0.662001953
FTSE100,11/11/2021,7340.200195,672658500,-0.44
FTSE100,12/11/2021,7384.200195,766415500,0.36300293
FTSE100,15/11/2021,7347.899902,604752800,-0.04
FTSE100,16/11/2021,7351.899902,849713500,0.248999023
FTSE100,17/11/2021,7327,980280900,0.357998047
FTSE100,18/11/2021,7291.200195,590225200,0.352001953
FTSE100,19/11/2021,7256,1174484200,0.323999023
FTSE100,22/11/2021,7223.600098,638191500,-0.318999023
FTSE100,23/11/2021,7255.5,624614500,-0.112001953
FTSE100,24/11/2021,7266.700195,661514300,-0.195996094
FTSE100,25/11/2021,7286.299805,487924100,-0.241000977
FTSE100,26/11/2021,7310.399902,1714871800,2.663999023
FTSE100,29/11/2021,7044,945061900,-0.66
FTSE100,30/11/2021,7110,1459578100,0.505
FTSE100,01/12/2021,7059.5,779578300,-1.092001953
FTSE100,02/12/2021,7168.700195,724509800,0.395
FTSE100,03/12/2021,7129.200195,867111100,0.069003906
FTSE100,06/12/2021,7122.299805,637274000,-1.1
FTSE100,07/12/2021,7232.299805,783615400,-1.076000977
FTSE100,08/12/2021,7339.899902,776663000,0.025
FTSE100,09/12/2021,7337.100098,615185100,0.15800293
FTSE100,10/12/2021,7321.299805,533854300,0.295
FTSE100,13/12/2021,7291.799805,1173948800,0.603999023
FTSE100,14/12/2021,7231.399902,662325900,0.127998047
FTSE100,15/12/2021,7218.600098,813609300,0.47800293
FTSE100,16/12/2021,7170.799805,1155236100,-0.89800293
FTSE100,17/12/2021,7260.600098,1477578800,-0.092998047
FTSE100,20/12/2021,7269.899902,925062200,0.718999023
FTSE100,21/12/2021,7198,683669700,-0.993999023
FTSE100,22/12/2021,7297.399902,514772900,-0.44300293
FTSE100,23/12/2021,7341.700195,422671500,-0.315996094
FTSE100,24/12/2021,7373.299805,126005500,0.01199707
FTSE100,29/12/2021,7372.100098,445975700,-0.486000977
FTSE100,30/12/2021,7420.700195,266402700,0.177001953
FTSE100,31/12/2021,7403,179343800,0.185
NASDAQ,02/01/2018,6937.649902,1914930000,-0.6925
NASDAQ,03/01/2018,7017.069824,2166780000,-0.484599609
NASDAQ,04/01/2018,7089.5,2098890000,0.115898438
NASDAQ,05/01/2018,7105.740234,2020900000,-0.308198242
